hour_of_day,observation_count,total_money,average_money,median_money
6,5,149.4,29.88,30.86
7,88,2846.02,32.34,32.82
8,235,7017.88,29.86,30.86
9,242,7264.28,30.02,30.86
10,328,10198.52,31.09,30.86
11,283,8453.1,29.87,28.9
12,241,7419.62,30.79,30.86
13,225,7028.76,31.24,30.86
14,225,7173.8,31.88,32.82
15,236,7476.02,31.68,32.82
16,278,9031.84,32.49,35.76
17,237,7659.76,32.32,32.82
18,218,7162.6,32.86,35.76
19,229,7751.96,33.85,35.76
20,169,5578.92,33.01,32.82
21,195,6397.94,32.81,32.82
22,113,3635.16,32.17,32.82
