year_month,observed_days,total_observations,mean_daily_observations,median_daily_observations,total_money,mean_daily_money,median_daily_money,is_full_month_in_dataset
2024-03,31,175,5.65,5.0,5905.2,190.49,149.9,True
2024-04,30,168,5.6,5.0,5719.56,190.65,171.45,True
2024-05,28,241,8.61,9.0,8164.42,291.59,290.48,True
2024-06,30,223,7.43,6.0,7617.76,253.93,221.42,True
2024-07,31,237,7.65,6.0,6915.94,223.09,172.42,True
2024-08,31,272,8.77,8.0,7613.84,245.61,247.86,True
2024-09,30,344,11.47,10.0,9988.64,332.95,296.35,True
2024-10,31,426,13.74,15.0,13891.16,448.1,482.5,True
2024-11,29,259,8.93,8.0,8590.54,296.23,261.58,True
2024-12,31,259,8.35,8.0,8237.74,265.73,266.48,True
2025-01,28,201,7.18,8.0,6398.86,228.53,251.78,True
2025-02,28,423,15.11,15.5,13215.48,471.98,481.51,True
2025-03,23,319,13.87,13.0,9986.44,434.19,420.78,False
